# of rank,Artwork&Artwork,Artist&Artwork,Artist&Artist
183,106.12666261767386,66.56465229274218,10.308685089583966
184,106.70658973580323,66.92839356210143,10.365016702095353
185,107.2865168539326,67.29213483146067,10.42134831460674
186,107.86644397206196,67.65587610081992,10.477679927118128
187,108.44637109019132,68.01961737017916,10.534011539629516
188,109.0262982083207,68.38335863953841,10.590343152140905
189,109.60622532645006,68.74709990889767,10.646674764652293
190,110.18615244457942,69.1108411782569,10.70300637716368
191,110.76607956270878,69.47458244761616,10.759337989675068
192,111.34600668083814,69.8383237169754,10.815669602186455
193,111.92593379896752,70.20206498633465,10.872001214697843
194,112.50586091709688,70.5658062556939,10.928332827209232
195,113.08578803522624,70.92954752505314,10.98466443972062
196,113.6657151533556,71.29328879441239,11.040996052232007
197,114.24564227148498,71.65703006377164,11.097327664743394
198,114.82556938961434,72.02077133313088,11.153659277254782
199,115.4054965077437,72.38451260249013,11.20999088976617
200,115.98542362587307,72.74825387184937,11.266322502277557
201,116.56535074400244,73.11199514120862,11.322654114788946
202,117.1452778621318,73.47573641056788,11.378985727300334
203,117.72520498026117,73.83947767992711,11.435317339811721
204,118.30513209839053,74.20321894928637,11.491648952323109
205,118.8850592165199,74.56696021864562,11.547980564834496
206,119.46498633464927,74.93070148800486,11.604312177345884
207,120.04491345277863,75.29444275736411,11.660643789857273
208,120.62484057090799,75.65818402672335,11.71697540236866
209,121.20476768903737,76.0219252960826,11.773307014880048
210,121.78469480716673,76.38566656544185,11.829638627391436
211,122.36462192529609,76.74940783480109,11.885970239902823
212,122.94454904342545,77.11314910416034,11.94230185241421
213,123.52447616155483,77.47689037351958,11.998633464925598
214,124.10440327968419,77.84063164287883,12.054965077436988
215,124.68433039781355,78.20437291223809,12.111296689948375
216,125.26425751594292,78.56811418159732,12.167628302459763
217,125.84418463407229,78.93185545095658,12.22395991497115
218,126.42411175220165,79.29559672031583,12.280291527482538
219,127.00403887033102,79.65933798967507,12.336623139993925
220,127.58396598846038,80.02307925903432,12.392954752505315
221,128.16389310658974,80.38682052839356,12.449286365016702
222,128.74382022471912,80.75056179775281,12.50561797752809
223,129.3237473428485,81.11430306711206,12.561949590039477
224,129.90367446097784,81.4780443364713,12.618281202550865
225,130.48360157910722,81.84178560583055,12.674612815062252
226,131.06352869723656,82.20552687518979,12.73094442757364
227,131.64345581536594,82.56926814454904,12.787276040085029
228,132.22338293349532,82.9330094139083,12.843607652596416
229,132.80331005162466,83.29675068326753,12.899939265107804
230,133.38323716975404,83.66049195262678,12.956270877619191
231,133.9631642878834,84.02423322198604,13.012602490130579
232,134.54309140601276,84.38797449134528,13.068934102641967
233,135.12301852414214,84.75171576070453,13.125265715153354
234,135.7029456422715,85.11545703006377,13.181597327664743
235,136.28287276040086,85.47919829942302,13.23792894017613
236,136.86279987853024,85.84293956878227,13.294260552687518
237,137.4427269966596,86.20668083814151,13.350592165198906
238,138.02265411478896,86.57042210750076,13.406923777710293
239,138.6025812329183,86.93416337686001,13.463255390221681
240,139.1825083510477,87.29790464621925,13.51958700273307
241,139.76243546917706,87.6616459155785,13.575918615244458
242,140.3423625873064,88.02538718493774,13.632250227755845
243,140.9222897054358,88.389128454297,13.688581840267233
244,141.50221682356516,88.75286972365625,13.74491345277862
245,142.0821439416945,89.11661099301548,13.801245065290008
246,142.6620710598239,89.48035226237474,13.857576677801395
247,143.24199817795323,89.84409353173398,13.913908290312785
248,143.8219252960826,90.20783480109323,13.970239902824172
249,144.401852414212,90.57157607045248,14.02657151533556
250,144.98177953234133,90.93531733981172,14.082903127846947
251,145.5617066504707,91.29905860917097,14.139234740358335
252,146.1416337686001,91.66279987853022,14.195566352869722
253,146.72156088672943,92.02654114788946,14.251897965381112
254,147.3014880048588,92.39028241724871,14.308229577892499
255,147.88141512298816,92.75402368660795,14.364561190403887
256,148.46134224111753,93.1177649559672,14.420892802915274
257,149.0412693592469,93.48150622532646,14.477224415426662
258,149.62119647737626,93.8452474946857,14.53355602793805
259,150.20112359550563,94.20898876404495,14.589887640449437
260,150.78105071363498,94.57273003340418,14.646219252960826
261,151.36097783176436,94.93647130276344,14.702550865472213
262,151.94090494989373,95.30021257212269,14.758882477983601
263,152.52083206802308,95.66395384148193,14.815214090494988
264,153.10075918615246,96.02769511084118,14.871545703006376
265,153.68068630428183,96.39143638020043,14.927877315517764
266,154.26061342241118,96.75517764955967,14.984208928029153
267,154.84054054054056,97.11891891891892,15.04054054054054
268,155.4204676586699,97.48266018827816,15.096872153051928
269,156.00039477679928,97.84640145763741,15.153203765563315
270,156.58032189492866,98.21014272699666,15.209535378074703
271,157.160249013058,98.5738839963559,15.26586699058609
272,157.74017613118738,98.93762526571516,15.322198603097478
273,158.32010324931676,99.3013665350744,15.378530215608867
274,158.9000303674461,99.66510780443365,15.434861828120255
275,159.47995748557548,100.0288490737929,15.491193440631642
276,160.05988460370483,100.39259034315214,15.54752505314303
277,160.6398117218342,100.75633161251139,15.603856665654417
278,161.21973883996358,101.12007288187064,15.660188278165805
279,161.79966595809293,101.48381415122988,15.716519890677194
280,162.3795930762223,101.84755542058913,15.772851503188582
281,162.95952019435168,102.21129668994837,15.82918311569997
282,163.53944731248103,102.57503795930762,15.885514728211357
283,164.1193744306104,102.93877922866687,15.941846340722744
284,164.69930154873975,103.30252049802611,15.998177953234132
285,165.27922866686913,103.66626176738536,16.05450956574552
286,165.8591557849985,104.03000303674462,16.11084117825691
287,166.43908290312785,104.39374430610386,16.167172790768294
288,167.01901002125723,104.75748557546311,16.223504403279684
289,167.59893713938658,105.12122684482235,16.279836015791073
290,168.17886425751595,105.4849681141816,16.33616762830246
291,168.75879137564533,105.84870938354085,16.392499240813848
292,169.33871849377468,106.21245065290009,16.448830853325234
293,169.91864561190405,106.57619192225934,16.505162465836623
294,170.49857273003343,106.93993319161858,16.56149407834801
295,171.07849984816278,107.30367446097783,16.617825690859398
296,171.65842696629215,107.66741573033708,16.674157303370787
297,172.2383540844215,108.03115699969632,16.730488915882173
298,172.81828120255088,108.39489826905557,16.786820528393562
299,173.39820832068025,108.75863953841483,16.843152140904948
300,173.9781354388096,109.12238080777406,16.899483753416337
301,174.55806255693898,109.48612207713332,16.955815365927723
302,175.13798967506835,109.84986334649255,17.012146978439112
303,175.7179167931977,110.2136046158518,17.0684785909505
304,176.29784391132708,110.57734588521106,17.124810203461887
305,176.87777102945643,110.9410871545703,17.181141815973277
306,177.4576981475858,111.30482842392955,17.237473428484662
307,178.03762526571518,111.66856969328879,17.29380504099605
308,178.61755238384453,112.03231096264804,17.350136653507438
309,179.1974795019739,112.39605223200729,17.406468266018827
310,179.77740662010328,112.75979350136653,17.462799878530216
311,180.35733373823263,113.12353477072578,17.519131491041602
312,180.937260856362,113.48727604008504,17.57546310355299
313,181.51718797449135,113.85101730944427,17.631794716064377
314,182.09711509262073,114.21475857880353,17.688126328575766
315,182.6770422107501,114.57849984816276,17.744457941087152
316,183.25696932887945,114.94224111752202,17.80078955359854
